iter	Passed	Remaining
477	642	701
478	643	699
479	644	697
480	645	696
481	646	694
482	647	692
483	648	691
484	649	689
485	650	687
486	651	686
487	652	684
488	653	682
489	654	681
490	655	679
491	656	678
492	657	676
493	658	674
494	659	673
495	660	671
496	661	669
497	662	668
498	664	666
499	665	665
500	666	663
501	666	661
502	668	660
503	669	658
504	670	656
505	671	655
506	672	653
507	673	651
508	674	650
509	675	648
510	676	647
511	677	645
512	678	644
513	679	642
514	680	640
515	681	639
516	682	637
517	683	635
518	684	634
519	685	632
520	686	631
521	688	630
522	689	628
523	690	627
524	691	625
525	692	624
526	693	622
527	694	620
528	695	619
529	696	617
530	697	616
531	699	614
532	700	613
533	701	612
534	702	610
535	703	609
536	704	607
537	705	606
538	706	604
539	707	602
540	708	601
541	709	599
542	710	598
543	712	596
544	713	595
545	714	593
546	715	592
547	716	590
548	717	589
549	718	588
550	719	586
551	720	585
552	721	583
553	723	582
554	724	580
555	725	579
556	726	577
557	727	576
558	728	574
559	729	573
560	730	571
561	731	570
562	732	568
563	733	567
564	734	565
565	735	564
566	737	562
567	738	561
568	739	559
569	740	558
570	741	557
571	742	555
572	744	554
573	745	553
574	746	551
575	747	550
576	748	548
577	749	547
578	750	545
579	751	544
580	752	542
581	753	541
582	754	539
583	755	538
584	756	536
585	757	535
586	759	534
587	760	532
588	761	531
589	762	529
590	763	528
591	764	526
592	765	525
593	766	523
594	767	522
595	768	520
596	769	519
597	770	518
598	771	516
599	772	515
600	774	513
601	775	512
602	776	510
603	777	509
604	778	508
605	779	506
606	780	505
607	781	503
608	782	502
609	784	501
610	785	499
611	786	498
612	787	497
613	788	495
614	789	494
615	790	492
616	791	491
617	793	490
618	794	488
619	795	487
620	796	485
621	797	484
622	798	483
623	799	481
624	800	480
625	802	479
626	802	477
627	803	476
628	804	474
629	806	473
630	807	471
631	808	470
632	809	469
633	810	467
634	811	466
635	813	465
636	814	464
637	815	462
638	816	461
639	818	460
640	819	458
641	820	457
642	821	455
643	822	454
644	823	453
645	824	451
646	825	450
647	827	449
648	828	447
649	829	446
650	830	445
651	831	443
652	832	442
653	833	441
654	834	439
655	835	438
656	837	437
657	838	435
658	839	434
659	840	433
660	841	431
661	842	430
662	844	429
663	845	427
664	846	426
665	847	425
666	848	423
667	849	422
668	851	421
669	852	419
670	853	418
671	854	417
672	855	415
673	856	414
674	857	413
675	859	411
676	860	410
677	861	409
678	862	407
679	863	406
680	864	405
681	866	403
682	867	402
683	868	401
684	869	399
685	870	398
686	871	397
687	872	395
688	873	394
689	874	392
690	875	391
691	876	390
692	877	388
693	878	387
694	879	385
695	880	384
696	881	383
697	882	381
698	883	380
699	884	379
700	885	377
701	886	376
702	887	375
703	888	373
704	889	372
705	890	370
706	891	369
707	892	368
708	893	366
709	894	365
710	895	364
711	896	362
712	897	361
713	898	359
714	899	358
715	900	357
716	901	355
717	902	354
718	903	353
719	904	351
720	905	350
721	906	349
722	907	347
723	908	346
724	909	345
725	910	343
726	911	342
727	912	341
728	914	339
729	915	338
730	916	337
731	917	335
732	918	334
733	919	333
734	920	331
735	921	330
736	922	329
737	923	327
738	924	326
739	925	325
740	926	323
741	927	322
742	928	321
743	929	319
744	930	318
745	931	317
746	932	315
747	933	314
748	934	313
749	935	311
750	936	310
751	937	309
752	938	307
753	939	306
754	940	305
755	941	303
756	942	302
757	943	301
758	945	300
759	946	298
760	947	297
761	948	296
762	949	294
763	950	293
764	951	292
765	952	290
766	953	289
767	954	288
768	955	287
769	956	285
770	957	284
771	958	283
772	959	281
773	960	280
774	961	279
775	962	277
776	963	276
777	964	275
778	965	273
779	966	272
780	967	271
781	968	270
782	969	268
783	970	267
784	971	266
785	972	264
786	973	263
787	974	262
788	975	260
789	976	259
790	977	258
791	979	257
792	980	255
793	981	254
794	982	253
795	983	251
796	984	250
797	985	249
798	986	248
799	987	246
800	989	245
801	990	244
802	991	243
803	992	241
804	993	240
805	994	239
806	995	238
807	996	236
808	997	235
809	999	234
810	1000	233
811	1001	231
812	1002	230
813	1003	229
814	1004	228
815	1005	226
816	1006	225
817	1007	224
818	1008	222
819	1009	221
820	1010	220
821	1011	219
822	1012	217
823	1013	216
824	1014	215
825	1016	214
826	1017	212
827	1018	211
828	1019	210
829	1020	209
830	1021	207
831	1022	206
832	1023	205
833	1025	204
834	1026	202
835	1027	201
836	1028	200
837	1029	199
838	1030	197
839	1031	196
840	1032	195
841	1033	193
842	1034	192
843	1035	191
844	1036	190
845	1037	188
846	1039	187
847	1040	186
848	1041	185
849	1043	184
850	1044	182
851	1045	181
852	1046	180
853	1047	179
854	1049	177
855	1050	176
856	1051	175
857	1052	174
858	1053	172
859	1054	171
860	1055	170
861	1056	169
862	1057	167
863	1058	166
864	1059	165
865	1060	164
866	1061	162
867	1062	161
868	1064	160
869	1065	159
870	1066	157
871	1067	156
872	1068	155
873	1069	154
874	1070	152
875	1071	151
876	1073	150
877	1074	149
878	1075	148
879	1076	146
880	1077	145
881	1078	144
882	1079	143
883	1080	141
884	1081	140
885	1082	139
886	1083	138
887	1084	136
888	1085	135
889	1086	134
890	1087	133
891	1089	131
892	1089	130
893	1091	129
894	1092	128
895	1093	126
896	1094	125
897	1095	124
898	1096	123
899	1097	121
900	1098	120
901	1099	119
902	1100	118
903	1101	116
904	1102	115
905	1103	114
906	1104	113
907	1105	112
908	1106	110
909	1107	109
910	1108	108
911	1109	107
912	1110	105
913	1111	104
914	1112	103
915	1113	102
916	1114	100
917	1115	99
918	1116	98
919	1117	97
920	1118	95
921	1119	94
922	1120	93
923	1121	92
924	1122	91
925	1123	89
926	1124	88
927	1125	87
928	1126	86
929	1127	84
930	1128	83
931	1129	82
932	1130	81
933	1131	79
934	1132	78
935	1133	77
936	1134	76
937	1135	75
938	1136	73
939	1137	72
940	1138	71
941	1139	70
942	1140	68
943	1141	67
944	1142	66
945	1143	65
946	1144	64
947	1145	62
948	1146	61
949	1147	60
950	1148	59
951	1149	57
952	1150	56
953	1151	55
954	1152	54
955	1153	53
956	1154	51
957	1155	50
958	1156	49
959	1157	48
960	1158	47
961	1159	45
962	1160	44
963	1161	43
964	1162	42
965	1163	40
966	1164	39
967	1165	38
968	1166	37
969	1167	36
970	1168	34
971	1170	33
972	1171	32
973	1172	31
974	1173	30
975	1174	28
976	1175	27
977	1176	26
978	1177	25
979	1178	24
980	1179	22
981	1180	21
982	1181	20
983	1182	19
984	1183	18
985	1184	16
986	1185	15
987	1186	14
988	1187	13
989	1188	12
990	1189	10
991	1190	9
992	1191	8
993	1192	7
994	1193	5
995	1194	4
996	1195	3
997	1196	2
998	1197	1
999	1198	0
